question,answer
Is there a sample around how the data should be formatted when having multiple features?,"Yes, the data should be labeled and placed in one .csv file. For more details, please refer to our user guide here: https://neuton.ai/st/95-dataset-requirements.html. You can also check our preloaded use cases on the platform to see how the datasets are formatted."
"For testing in Neuton, should I combine all CSV files for a given feature into one?","Yes, you should combine all CSV files for a given feature into one. This is the required format for feeding the data into the platform for testing. Do not shuffle the data! "
Should there be a timestamp column in the data or not?,"No, you should exclude the timestamp column. It does not contribute to signal-defining features, so it is not necessary for training."
"Is it necessary to explicitly specify the start and end of each sample in the data, or can the system infer this information from patterns?","There's no need to explicitly define the start and end of each sample. If your CSV file contains continuous measurements of a single activity, you should add a ‘target’ column to indicate that activity. For instance, if your first CSV file contains accelerometer data for running, you would add a ‘target’ column that specifies the activity (e.g., running). All the rows in this dataset would have the same target value indicating they reflect running. Once you concatenate all your activity datasets into a single file (without shuffling the data), the platform will automatically sort and process everything based on the 'target' column and the windowing settings."
How do I upload test data to validate against?,"To upload a test dataset for validation, simply enable holdout validation by toggling the switch near the ""Holdout Validation"" option on the Dataset tab. After the model finishes training, the metrics will be calculated on the holdout validation dataset. Please ensure that the holdout dataset is in the same format as the training dataset, with identical column names."
Are there API endpoints available for training the Neuton model?,Neuton.ai currently does not provide API access for training. You need to use the platform.
"Hi I am trying to upload previous loaded .cvs file for training dataset, but now your system shows error. Can you tell me why?","According to our logs, your dataset has not enough samples. For your experiment (window size = 128), you need at least 6400 rows of samples in your dataset. 451 rows are not enough for Neuton to process the dataset. However, you can try to reduce the window size and repeat your experiment. Also, judging by our logs, the target variable is represented with only one class instead of two. We recommend you add the second possible outcome to your target variable."
"Hi, does the trained Neuton model work on arm only or it can also run the generated library on my intel cpu?","we offer a downloadable C library compatible with the following platforms: Cortex M0, Cortex M4, Cortex M33, STMicro ISPU, and Microchip-8 series. To run inference on an intel cpu (PC) you can use the inference_runner CLI tool located in the artifacts directory in the downloadable archive."
is there a tutorial on how to integrate Neuton in stm32 ispu?,Follow the README.md file in the X-CUBE-ISPU expansion package for the development environment setup <https://www.st.com/en/embedded-software/x-cube-ispu.html>.
I wanted to follow up on a question I submitted through your contact us page regarding getting a pre-compiled library for the ARC EM4 mcu.,We will be happy to meet and learn about the project you are working on. Please feel free to contact us. We will be happy to help!
"When I link the neuton's libneuton_arm_cm4.a with my project, I get errors like: uses VFP register arguments, firmware.elf does not. Is there a way to overcome this?","It seems like yours is compiled with mfloat-abi=softfp and there could be a mismatch because of that. Our library is compiled with -mfloat-abi=hardfp, but Arduino by default compiled with mfloat-abi=softfp, that's why you have this mismatch-mthumb-mcpu=cortex-m4-mfloat-abi=hard-mfpu=fpv4-sp-d16. Currently, Arduino is not natively supported, but compatibility will be included in future platform updates."
"Hi, can I use neuton to run on ESP32?  ",Absolutely!
Can I upload data for you to do modelling?  ,Absolutely. Could you kindly provide details about your data and the specific task you are attempting to accomplish? Please use support@neuton.ai for further communication.
could you tell me why my training stopped? ,"Typically, such errors happen if the requirements for the dataset are not met. Based on our logs, your window size is 52. This means that your data (time series) must contain consecutive readings first from one class, then from another class, then from the third class and so on; and when a window of 52 is applied to the dataset, it will capture consecutive sensor readings for 52 rows of one event many times, then of another event and so forth. The log says that the preprocessed dataset contains 0 records. This usually means that the original data does not have a single event where sensor readings for any class contained a consecutive number of records of window size (52 in your case). "
is it possible that i train the model myself and upload it?,"Unfortunately, uploading your own pre-trained model to the platform is not currently supported. However, we recommend giving our platform a try to create ultra-tiny machine learning models tailored to your needs."
any deployment tutorial?,"Sure, you can find a Readme file in the downloadable archive. The tutorial is also presented here: <https://neuton.ai/st/101-run-inference-on-the-mcu.html> (<https://neuton.ai/st/101-run-inference-on-the-mcu.html>)"
"I have the database, how to use it for training?","If you want to upload data for model training, you need to prepare your data in CSV format. You can find more information about the dataset requirements by visiting this URL: <https://neuton.ai/st/95-dataset-requirements.html>. You can also find guidance on how to upload your data at this URL: <https://neuton.ai/st/96-data-uploading-and-setup.html>."
"Hello, is there any docs that I can follow to try the model in raspberry pi 4?","Please refer to our user guide at https://neuton.ai/st/101-run-inference-on-the-mcu.html. Please note that currently Neuton.ai only offers downloadable C libraries for Cortex M0, Cortex M4, Cortex M33, STMicro ISPU, and Microchip-8 series."
"So for Cortex-A72, will it be available on other plans?","Sure, kindly fill out this form <https://neuton.ai/contactus> (<https://neuton.ai/contactus>) and the team will respond as soon as they can."
Is there any forum where I can ask questions specific to my problem?,"Unfortunately, we don't have any forums, but you can ask any questions related to the Neuton platform in the chator write to support@neuton.ai"
Can I test this code on my desktop?,"If you want to run inference on your PC, it is possible. Please refer to the user guide available at <https://neuton.ai/st/111-desktop-executable-prediction.html> (<https://neuton.ai/st/111-desktop-executable-prediction.html>)."
"After training, how to see the Neural Network Structure  ",We do not provide the option to view or manually edit the Neural Network Structure.
Can i use ESP32 Cam to detect fish movements,"Unfortunately, the ESP32-CAM cannot be directly used with Neuton for detecting fish movements, as our platform currently does not support video data. However, if you can process the fish movement data into numerical features (e.g., using sensors or image processing) and store it in a suitable format like CSV, you could potentially use it with Neuton for analysis."
Which development environments do you support? Can I use the C library with Visual Studio Code to program the Arduino Nano 33?,"While we don't currently support native integration with the Arduino environment, if you are able to link our library yourself, you should be able to make it work for Arduino Nano 33. As for other supported platforms, a compiled Neuton model can be integrated with their respective development environments."
"I got a message that ""Creation of the neural network structure for CPWatcher has completed"" and after that ""Training stopped"", do I need to do anything in order to continue?",We are pleased to hear that you were able to successfully train the model with such high accuracy. You can proceed to the Results tab on the platform to access training results and download the trained model archive.
Why my training always get stopped  ,"Your dataset does not have enough samples for each class. Ideally, there should be at least 20 samples for each of the classes. Additionally, your dataset has already been preprocessed, so there is no need to use the Digital Signal Processing (DSP) option when selecting training settings. You need to add more samples for each class and disable the DSP option when selecting training settings. Once you have made these changes, you can start training again."
Do you have any idea about how do I use neuton_nn_setup() in arduino?,"Please check out our user guide on how to embed Neuton's models: https://neuton.ai/st/101-run-inference-on-the-mcu.html. However, please note that our platform currently provides a downloadable C library for Cortex M0, Cortex M4, Cortex M33, STMicro ISPU, and Microchip-8 series, but not the Source code. Additionally, we don't currently support native integration with the Arduino environment."
How do I use the model on atmega128rfa1 MCU?,You can find a Readme file in the downloadable archive. The tutorial is also presented here: https://neuton.ai/st/101-run-inference-on-the-mcu.html
are you using pruning?,"Neuton is based on a unique patented machine learning algorithm that forgoes error backpropagation and stochastic gradient descent, growing the network structure neuron by neuron. This helps to build neural networks without compromising between accuracy and size:, with the excellent generalizing capability; with minimal size, often less than 1 Kb; without loss of accuracy; without compression techniques. Neuton models maintain all of their original characteristics, without any reduction of accuracy. Neuton does not reduce the model size after its creation. Neuton does not use quantization, pruning, clustering, nor distillation."
i have a problem including the neuton library in the arduino ide. I need the procedure to include the library in ide.,"Arduino is not natively supported by Neuton.ai at this stage, but compatibility will be included in future platform updates."
Is there a way to retrain the same model from the inference runner executable?,"The Inference Runner Executable enables you to validate the results of the model's inference without requiring implementation on the Edge device exclusively. If you intend to retrain the model, you'll need to create a new solution and conduct the training process anew. Also, you can copy your existing solution to avoid reconfiguring the same settings."
Is there any positive and negative coefficient show in the model?  ,"The structure of the model is not revealed on the platform because Neuton is a proprietary neural network framework. However, you can assess the number of coefficients in the trained model on the platform's Results tab."
do this cost any money?  ,It is completely free
"I would like to know if we can use Neuton to create a model and put it into our product, it is a smart ring and we are a start-up, we are planning to sell the smart ring to our customers, is the Free Plan sufficient?",We would love to consult you personally. Please drop us a message using the contact us form and we will get back to you promptly. https://neuton.ai/contactus
Hey anyway how can i integrate my model to micropython?,"Our model is run by using a C API. If you're able to call our model API using C from MicroPython using some subprocess, you can receive predictions by providing sensor data to the Neuton library. In the model archive, there's an ""inference_runner"" folder which includes a CLI tool for getting predictions. Try running it using a subprocess from MicroPython and then update us on how it went."
Is input[0] meant to be ax and field 6 is irrelevant? Is input[0] irrelevant and input[6] gz?  ,"Did you by chance have an index column in your dataset? E.g.: If you are working with 6 axis then your dataset should have 7 columns: acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z, target. Regardless of the use-case or the type of sensor data your dataset should not contain an index/timestamp column."
"can i upload data in pdf and other text formats, or can neuton fetch pdfs from my google drive to learn before responding?",Neuton currently accepts data in the .csv format.
how can neuton help me set up a neural network to predict anticompetitive behaviour by plcs?,Neuton offers sophisticated features for developing precise and highly compact models using sensor data for EDGE devices. 
Where is the HQ of neuton.ai  ,"Our headquarters is located at 6200 Stoneridge Mall Rd Ste 300, Pleasanton, CA 94588, USA."
is it free all time ?,"Yes, it's free all the time."
Is there mobile version of neuton ai  ,Our platform is currently designed for desktop use and does not support a mobile version at this time.
can this app solve coding errors?,"Neuton TinyML is not specifically designed to solve coding errors. Its primary focus is on developing machine learning models for edge devices, which can be used in a variety of applications but not directly for debugging or fixing coding errors in software development."
how can i try a pretrained model  ,"Here's how you can get started: Registration: Sign up on the Neuton platform using this manual: https://neuton.ai/st/87-how-to-subscribe-to-neuton.html. Explore Preloaded Datasets: Once registered, you can explore preloaded datasets available on the platform. This allows you to understand how models are built and tested. Here you can find the dataset requirements: https://neuton.ai/st/95-dataset-requirements.html#audio."
How would I do this on Arduino IDE?,"We provide a static C library(.a) and you can link to your firmware project using cmake or any standard building tools. Unfortunately, Arduino IDE does not support this feature out-of-the-box, please refer to their forum for more details: https://forum.arduino.cc/t/guidelines-to-modify-arduino-build-process-to-support-static-linking-of-code/675743/2"
What are Activation functions and what to choose?,Neuton.ai can train models using floating point weights or fixed point weights. These settings are defined separately for model weights and activation function computations in the 'Weights & Coefficients' and 'Activation Functions' dropdown menus accordingly. For the smallest possible footprint (if you have opted in for 'Quantization aware ...' option in the 'Weights & Coefficients' dropdown) make sure to select 'Quantized Activation' in the 'Activation Function' dropdown menu.
What kind of target hardware I need to choose and what kind are presented?,"Currently, the Neuton.AI platform supports the following target hardware: Cortex M0, Cortex M4, Cortex M33, STMicro ISPU, and Microchip-8 series. If you require support for different hardware, please fill out the form at https://neuton.ai/contactus"
What is the Session ID column and Do I need to specify it?,"The Session ID column in a dataset is used to describe a time-continuous process, such as readings from sensors over time. It helps in separating different sessions or instances within the dataset, allowing for more precise and concise model creation. Including a Session ID column can enhance the model's accuracy by providing context about the sequence of data points. While it's not mandatory to specify a Session ID column, doing so can be beneficial if your dataset involves time-series data or processes that need to be distinguished by session. It ultimately depends on the nature of your data and the specific requirements of your analysis. If you have a session_id attribute in your data, use a 'Session ID' radio button to identify this column in the 'Dataset' tab."
Can I choose 2 target columns?,"At this stage Neuton.ai platform can only train models to predict a single target variable, but underlying technology can predict two targets. If you have a potential commercial application with two target variables - please write to support@neuton.ai and describe your use-case. We will get in touch with you."
Do you have video tutorials?,You can access our video tutorials here: https://neuton.ai/video
What does Analytics button show?,"The Data Analytics button provides access to a comprehensive tool for exploring and understanding your training dataset. Here's what it shows: Dataset Overview: Offers brief statistics about your dataset, including problem type, dimensions, missing values, and record count. Continuous Data Distribution: Visualizes each continuous variable with density plots, showing data distribution and its relation to the target variable. Feature Relation to Target: Displays how features relate to the target variable, using line charts for regression tasks and histograms for classification tasks. Feature Correlations: Includes a heatmap of the top 10 important features and a histogram for high mutual correlations. Target Variable Distribution: Shows target variable statistics using violin plots for regression and histograms for classification. Outliers: Visualizes outliers in the dataset. This tool helps in identifying key features and understanding their impact on the target variable, aiding in better model development and analysis."
What is processed_train_#.csv?,"The processed_train_#.csv is the exact data the model was trained on, including any additional settings you selected, such as features generated through Feature Extraction."
I see the status Data preprocessed - Action needed. What does it mean?,The status 'Data preprocessed - Action needed' means that something noteworthy occurred during preprocessing that requires your attention. You should review the results and decide whether to proceed with training.
It is written that 15.92% of data was removed. What does that mean?,"This means that during preprocessing, 15.92% of the dataset was removed according to the solution settings. Reasons for data removal: 1. There are classes (activities/gestures) in your dataset that are represented by < 10 examples. 2. During processing data by windows, some windows didn't have enough samples to for a training example for a particular class. 3. If you have defined a 'Session ID' and a window, some combinations of session/window didn't have enough samples to form a valid train sample. You should review the results and decide whether to proceed with training."
What are the blue dots on the chart?,"The blue dots on the chart, labeled as Solution Options, represent different iterations of model growth and construction within a single graph. This visualization enables users to compare models, choose the most suitable one, and download versions that differ by just a few kilobytes in size or hundredths of a percent in accuracy. This ensures optimal adaptability for deployment on highly resource-constrained devices."
What is sram and flash?,Static random-access memory (static RAM or SRAM) is a type of random-access memory (RAM) that uses latching circuitry (flip-flop) to store each bit. SRAM is volatile memory; data is lost when power is removed. Flash memory is an electronic non-volatile computer memory storage medium that can be electrically erased and reprogrammed.
Do you have any social media?,"https://www.linkedin.com/company/neuton, https://www.facebook.com/NeutonAI, https://twitter.com/NeutonAI, https://neutonautoml.slack.com/join/shared_invite/zt-19zmrhmwk-51llYk09u18soU_kdIiJvg#/shared-invite/email, https://www.youtube.com/channel/UCtkEpWMAplbzQZYTAdVmL_Q"
Do you have projects on a github?,You can find several ready-to-use projects on our GitHub repository: https://github.com/Neuton-tinyML. These projects provide examples of how to integrate Neuton’s ultra-tiny machine learning models into various applications and devices.
do you support video?,"Currently, Neuton does not support video processing. However, it is on our roadmap, so we plan to include this capability in the future. We are continuously working to expand our platform's features and capabilities to serve our users' needs better. If you have any other questions or need assistance with different types of data, feel free to ask! We're here to help with any other inquiries you might have."
Can you write a code?,"Neuton TinyML is a no-code automated platform built to create ultra-compact models for tasks like activity recognition, machine fault classification, vital signs monitoring and many more. It specializes in processing sensor data and developing models for edge devices, such as those used in gesture and human activity recognition. However, it is not designed for generating code. If you're looking for a tool to assist with writing software code, you may want to explore platforms specifically built for that purpose. Let me know if you need any recommendations!"
Why I see only one model for anomaly solution?,Neuton.ai platform's interface is uniform for all the solutions. Classification/Regression task types yield multiple models during training while Anomaly Detection task type trains a single model.
Which microcontrollers or sensors do you support?,"User can choose one or several types of hardware on the training pipeline page. All users can see all options. Currently, the Neuton.AI platform supports the following target hardware: Cortex M0, Cortex M4, Cortex M33, STMicro ISPU, and Microchip-8 series.
What languages do you support?,I can respond in English. How can I assist you further?
Where is the contact form?,"Press on '?' sign, choose Support - Contact us"
There are no limits on how many times I can train my own datasets?,You can train as many models as you like.
give me the link to prod version of the platform,Here is the link lab.neuton.ai
what's data analytics,"Data analysis, particularly in the context of machine learning, involves examining and processing data to extract useful information and insights. In Neuton's platform, this process is automated through a tool that analyzes the training dataset and its relationship to the target variable. This is part of the Exploratory Data Analysis (EDA) phase, which is crucial for understanding the dataset before building a model. The tool provides a comprehensive report that includes: Dataset Overview: Offers statistics like problem type, dataset dimensions, and missing values. Continuous Data Distribution: Visualizes how continuous variables relate to the target variable. Feature Correlations: Shows correlations among important features and with the target variable. Target Variable Distribution: Displays the distribution of the target variable using plots. Outliers: Identifies and visualizes outliers in the data. This analysis helps in selecting the most significant features for model training, ensuring that the model is built on a solid understanding of the data's structure and relationships."
tell me about the chart on relsults page,A Model Growth Chart is a visual tool that presents the iterations of growth and model construction on a single graph. It allows users to select and download the optimal model based on both model quality and size. This chart is particularly useful for tracking the changes in the target metric over time.
"how to download the model, not the C Library?","The 'C Library' button for the selected model allows users to download the resulting model and code required for inference on the device. The archive includes the following folders and files: artifacts: Contains models converted to various formats, along with CLI executables in the infrence_runner directory for making predictions on the desktop; neuton: Includes header files and compiled libraries for different architectures such as Cortex M0, Cortex M4, Cortex M33, STMicro ISPU, and Microchip-8 series; neuton-generated: Contains configuration and necessary files to ensure the correct operation of the libraries; LICENSE: Provides information on the use cases and restrictions for Neuton's intellectual property; README: Includes detailed instructions for using the libraries effectively; This setup is designed to help you deploy and integrate the model onto edge devices seamlessly."
where can I find the 'contact us' form?,https://neuton.ai/contactus
Why I can't choose target column for my dataset?,"Anomaly detection models on the Neuton.ai platform are trained in unsupervised fashion. User does not need to provide normal/abnormal data with corresponding target values. All you need to upload is the normal operational sensor data. Neuton will train a model to interpret this as normal operational mode and at inference, if sensor readings will fall out of the normal operational mode ranges, such events will be classified as abnormal."
What are the restrictions for dataset size?,"We advice to upload not more than 5 GB of training data. In terms of dataset width, we advice to limit it by maximum 27000 columns."
how to use audio data?,Neuton.ai currently does not support audio data.
Are the 8-bit models more accurate than the 16-bit ones.,"There is no such dependence. In many cases, the metrics of an 8-bit model may differ slightly from a 16-bit one, while the model itself will be more compact."
"hello, how can I close the account?","You may request to delete your account at any time and for any reason by contacting our support team at support@neuton.ai. Once we receive your request, we will promptly begin the process of deleting your account along with all associated Neuton Service Data, in accordance with any applicable legal data retention requirements. You will receive a confirmation email once the deletion is complete."
"im going my training on a runpod, using a docker image with jupyter, is there an access point for your service that will allow me to connect directly or do i have to store my files on google and push them through that way?",Neuton.ai currently does not provide API access for training. You need to use the platform.
How do I use the solution I downloaded on an Arduino?,"You can find a guide [here](https://neuton.ai/st/101-run-inference-on-the-mcu.html) At present, the [project](https://neuton.ai/news/projects/113-ultra-tiny-solution-of-daily-activities-recognition.html) works with Nicla Sense ME without improvements. For other Arduino boards, you need to adapt the c library."
"Hi, does work on arm only or can run the generated library on my intel cpu?","We offer a downloadable C library compatible with the following platforms: Cortex M0, Cortex M4, Cortex M33, STMicro ISPU, and Microchip-8 series. To run inference on an intel cpu (PC) you can use the inference_runner CLI tool located in the artifacts directory in the downloadable archive."
"I have a question about the neuton libraries, are they available only for the cortex M4 and the cortex M0?","We offer a downloadable C library compatible with the following platforms: Cortex M0, Cortex M4, Cortex M33, STMicro ISPU, and Microchip-8 series. "
how I can see the models footprint running on an ispu? I can only see m4 and m0.,"Unfortunately, this feature is still in development. However, you can view the total footprint by embedding the model in the STMicro ISPU."
is it possible i train the model myself and upload it?,"Unfortunately, it is not possible to upload your own model to the platform. However, we suggest trying out our platform to create ultra-tiny machine learning models using the Neuton technology."
"my device is cortex m3, is it possible to use neuton? cause i getting error when adding the m0/m4 lib","The platform offers a downloadable C library for Cortex M0, Cortex M4, Cortex M33, Microchip 8-series and STMicro ISPU. "
"I have the database, how to apply","If you want to upload data for model training, you need to prepare your data in CSV format. You can find more information about the dataset requirements [here](https://neuton.ai/st/95-dataset-requirements.html). You can also find guidance on how to upload your data [here](https://neuton.ai/st/96-data-uploading-and-setup.html)."
"So for Cortex-A72, will it be available?","Sure, kindly send us a request at support@neuton.ai, and the team will respond as soon as they can."
I'm having some problems integrating the C library into the Arduino IDE. Can you help me or explain in detail how I need to include the library correctly.,"Unfortunately, we do not currently offer support for the Arduino IDE, which may be the reason for the issue you are experiencing."
"I would like to know if we can use Neuton to create a model and put it into our product, it is a smart ring and we are a start-up, we are planning to sell the smart ring to our customers, can we use your platform to create a production model for a commercial product?",We would love to consult you personally. Please drop us a message at support@neuton.ai.
Is there support for continuous integration / continuous deployment (CI/CD) workflows?,Neuton platform does not provide API access for training or downloading the trained models. However, if you have a configured CI/CD process to update models in your edge devices over the air, you can use the platform to train a new model, then save the model in your repository which will handle model update in edge devices within your existing CI/CD process.
Why I can't choose target column for my dataset in anomaly solution?,Anomaly detection models on the Neuton.ai platform are trained in unsupervised fashion. User does not need to provide normal/abnormal data with corresponding target values. All you need to upload is the normal operational sensor data. Neuton will train a model to interpret this as normal operational mode and at inference, if sensor readings will fall out of the normal operational mode ranges, such events will be classified as abnormal.
Does Neuton support collaboration among teams on the same project?,Neuton provides individual user accounts under which users can manage and develop their own projects. However, team-based collaboration on shared projects is not currently supported. Each project is tied to a personal account, and access or editing cannot be shared across multiple users at this time. We recognize the value of team collaboration and are exploring ways to support it in the future.
How does Neuton support hyperparameter tuning?,Neuton executes model training automatically and adjust hyperparameters during training without user input.
Does Neuton support reinforcement learning?,Neuton does not support reinforcement learning. The platform is primarily focused on supervised learning tasks, such as classification and regression, using sensor data as well as unsupervised anomaly detection.
How does Neuton handle imbalanced datasets?,Neuton works great with unbalanced datasets. The platform does not utilize over/undersampling because it changes the statistics of the occurance of classes in real applications and dicreases model's generalization capabilities. For best performance user should manually infer the predicted class by postprocessing the model's predicted probabilities.
What is the typical model training time compared to traditional ML platforms?,Training time varies between several minutes to several hours depending on the dataset size and data complexity. Average training time is within 1 hour.
Are there benchmarks available comparing Neuton’s performance to other AutoML tools?,Neuton.ai benchmarks are available here: https://neuton.ai/frmwrk
Is there GPU support for faster training?,Neuton automatically configures the required training infrastructure subject to the dataset size and complexity. If required, the platform automatically provisions GPU(s).
Can Neuton models be updated incrementally (online learning)?,If you want to update the model with new data, you need to create a new solution and train the model again.
where to find how much I will be charged for the training?,It is absoluytely free! Enjoy.
I am trying to use the model in a nRF54L15. But I have a mistake ld.bfd.exe: failed to merge target specific data of file libneuton.a(neuton_nn_frontend_features.c.obj) what I need to do? error: {file} uses VFP register arguments, {file}.o does not ld: failed to merge target specific data of file {file}.o, This error occurs when there is a mismatch in floating-point (VFP) register usage between different object files during linking, specifically for the nRF54L15 target. The Neuton.AI library for Cortex-m4/Cortex-m33 is compiled with hardware floating-point support by default. Here's what's happening and how to fix it:\nThis typically happens when:\nDifferent compilation flags are used for different source files or libraries\nThe toolchain expects VFP usage but the object file wasn't compiled with VFP support\nThere's a mismatch between your compilation settings and the nRF54L15's capabilities\nSolution:\nEnsure consistent compiler flags:\nMake sure all files are compiled with the same floating-point ABI settings. For nRF54L15 (Cortex-M33), you likely want:\nbash\n-mfloat-abi=hard -mfpu=fpv5-sp-d16\nCheck your toolchain configuration:\nVerify your ARM toolchain supports and is configured for the nRF54L15's floating-point unit.\nModify your Makefile/CMakeLists:\nAdd the correct flags to your build system:\nmakefile\nCFLAGS += -mfloat-abi=hard -mfpu=fpv5-sp-d16\nClean and rebuild:\nAfter changing flags, do a clean rebuild:\nbash\nmake clean && make\nAdditional Notes:\nThe nRF54L15 has a Cortex-M33 with optional FPU, so ensure your project configuration matches your hardware capabilities\nIf mixing libraries, ensure they're all compiled with compatible floating-point options\nCheck your linker script for any floating-point related configurations
